	date	ticker	revenue	ebit	cash-flow-from-operating-activities	current-ratio	debt-equity-ratio	gross-margin	net-profit-margin	roe	past-eps-earnings-per-share-diluted	eps-earnings-per-share-diluted	ebitda-margin
56	2009-09-30	TSLA	45.52700	-4.29100	-23.489			16.91080	-10.13680		-0.10400	-0.04400	0
55	2009-12-31	TSLA			-29.002						-0.04400	0.00000	0
54	2010-03-31	TSLA	20.81200	-25.99800	-27.32900			18.50860	-141.83640		0.00000	-0.26930	0
53	2010-06-30	TSLA	28.40500	-31.36200	-20.247	1.31180	-0.14960	22.04190	-135.59940	12.43390	-0.26930	-0.33600	0
52	2010-09-30	TSLA	31.24100	-37.83400	-45.957	3.47810	0.26110	29.75580	-111.82420	-15.88510	-0.33600	-0.02530	0
51	2010-12-31	TSLA	36.28600	-51.64400	-34.284	2.75680	0.35070	31.20210	-141.53390	-24.80440	-0.02530	0.42800	0
50	2011-03-31	TSLA	49.03000	-47.34600	-43.29700	2.00840	0.61510	36.76930	-99.81850	-29.17710	0.42800	-0.03400	0
49	2011-06-30	TSLA	58.17100	-58.73900	-22.488	3.01120	0.38690	31.81650	-101.25840	-16.90420	-0.03400	-0.04000	0
48	2011-09-30	TSLA	57.66600	-64.47700	-21.491	2.67300	0.76860	29.86860	-112.85330	-22.12650	-0.04000	-0.04200	0
47	2011-12-31	TSLA	39.37500	-80.92600	-40.758	1.94860	1.25040	19.89840	-206.95620	-36.37170	-0.04200	-0.05270	0
46	2012-03-31	TSLA	30.16700	-88.76300	-63.30000	1.52250	2.37800	33.84490	-297.91830	-58.40690	-0.05270	-0.05730	0
45	2012-06-30	TSLA	26.65300	-106.17500	-64.264	1.10680	7.05570	17.86670	-396.21430	-169.73870	-0.05730	-0.06670	0
44	2012-09-30	TSLA	50.10400	-108.46000	-101.026	0.73750	-17.02290	-17.48560	-221.14800	397.50310	-0.06670	-0.07000	0
43	2012-12-31	TSLA	306.33200	-90.88500	-35.225	0.97340	3.74230	7.78760	-29.35800	-72.11950	-0.07000	-0.05200	0
42	2013-03-31	TSLA	561.79200	-5.58400	64.07900	0.98200	2.70220	17.14510	2.00220	6.67210	-0.05200	0.00000	0
41	2013-06-30	TSLA	405.13900	-11.79200	-35.298	2.32160	0.94320	24.80210	-7.52880	-4.84600	0.00000	-0.01730	0
40	2013-09-30	TSLA	431.34600	-30.55400	102.036	1.04220	1.19980	23.84810	-8.92460	-6.82350	-0.01730	-0.02130	0
39	2013-12-31	TSLA	615.21890	-13.35310	133.987	1.87500	0.90970	25.45290	-2.64360	-2.43790	-0.02130	-0.00270	0
38	2014-03-31	TSLA	620.54200	-43.96700	58.72300	2.23280	2.41300	24.99880	-8.02520	-5.46020	-0.00270	-0.02670	0
37	2014-06-30	TSLA	769.34900	-28.75300	-1.662	2.18400	2.57330	27.68510	-8.04580	-6.49980	-0.02670	-0.03330	0
